index,hawkish,dovish,cnt,prob_hawkish,prob_dovish,polarity_score
심상/NNG;않/VX,65,85,150,0.0009079226729243491,0.0011872834953626104,0.7647058823529411
재정/NNG;확장/NNG,7,11,18,9.777628785339144e-05,0.00015364845234104368,0.6363636363636364
전망/NNG;불확실성/NNG,5,13,18,6.984020560956531e-05,0.00018158453458486982,0.3846153846153846
글로벌/NNG;금리/NNG;급등/NNG,6,20,26,8.380824673147838e-05,0.00027936082243826125,0.30000000000000004
주택시장/NNG;회복/NNG,16,25,41,0.00022348865795060902,0.0003492010280478266,0.64
경제/NNG;지표/NNG;부진/NNG;금리/NNG;인상/NNG,12,6,18,0.00016761649346295676,8.380824673147838e-05,2.0
돈/NNG;넘/VV,5,11,16,6.984020560956531e-05,0.00015364845234104368,0.4545454545454546
대외/NNG;불확실성/NNG;확대/NNG,19,14,33,0.0002653927813163482,0.00019555257570678288,1.3571428571428572
국채/NNG;가격/NNG;상승/NNG,58,42,100,0.0008101463850709576,0.0005866577271203486,1.380952380952381
주거비/NNG;부담/NNG;완화/NNG,8,28,36,0.00011174432897530451,0.00039110515141356576,0.28571428571428575
경기/NNG;회복/NNG;기대/NNG;상승/NNG,6,12,18,8.380824673147838e-05,0.00016761649346295676,0.5
지표/NNG;부진/NNG;하락/NNG,12,4,16,0.00016761649346295676,5.5872164487652255e-05,3.0
이전/NNG;금리/NNG;인상/NNG,7,10,17,9.777628785339144e-05,0.00013968041121913062,0.7000000000000001
수익성/NNG;좋/VA,14,8,22,0.00019555257570678288,0.00011174432897530451,1.7499999999999998
베이시스/NNG;확대/NNG,6,16,22,8.380824673147838e-05,0.00022348865795060902,0.375
유동성/NNG;줄/VV,12,6,18,0.00016761649346295676,8.380824673147838e-05,2.0
경제/NNG;성장/NNG;우려/NNG,12,7,19,0.00016761649346295676,9.777628785339144e-05,1.7142857142857144
경제/NNG;부양/NNG,13,20,33,0.00018158453458486982,0.00027936082243826125,0.65
물가/NNG;상승/NNG;우려/NNG;크/VV,17,6,23,0.00023745669907252208,8.380824673147838e-05,2.833333333333333
세계/NNG;경제/NNG;둔화/NNG,10,14,24,0.00013968041121913062,0.00019555257570678288,0.7142857142857143
장기물/NNG;상승/NNG,7,11,18,9.777628785339144e-05,0.00015364845234104368,0.6363636363636364
경제/NNG;지표/NNG;개선/NNG,43,63,106,0.0006006257682422617,0.000879986590680523,0.6825396825396826
재정/NNG;긴축/NNG,28,8,36,0.00039110515141356576,0.00011174432897530451,3.4999999999999996
금리/NNG;안/MAG;오르/VV,20,15,35,0.00027936082243826125,0.00020952061682869594,1.3333333333333333
심리/NNG;위축/NNG,17,11,28,0.00023745669907252208,0.00015364845234104368,1.5454545454545456
안전자산/NNG;선호/NNG;강하/VA,18,6,24,0.00025142474019443513,8.380824673147838e-05,3.0
금리/NNG;인상/NNG;속도/NNG;늦/VV,28,14,42,0.00039110515141356576,0.00019555257570678288,2.0
지수/NNG;fed/NNG;금리/NNG;인상/NNG,30,18,48,0.00041904123365739187,0.00025142474019443513,1.6666666666666665
국채/NNG;금리/NNG;소폭/MAG;하락/NNG,17,13,30,0.00023745669907252208,0.00018158453458486982,1.3076923076923077
모기지/NNG;금리/NNG;상승/NNG,35,9,44,0.0004888814392669572,0.00012571237009721757,3.8888888888888884
신용등급/NNG;상향/NNG,55,97,152,0.0007682422617052185,0.0013548999888255671,0.5670103092783505
수익/NNG;높/VA,11,7,18,0.00015364845234104368,9.777628785339144e-05,1.5714285714285714
투자/NNG;실패/NNG,15,6,21,0.00020952061682869594,8.380824673147838e-05,2.4999999999999996
경기/NNG;침체/NNG;금리/NNG;인상/NNG,24,7,31,0.00033523298692591353,9.777628785339144e-05,3.428571428571429
최대/NNG;오르/VV,26,16,42,0.00036316906916973964,0.00022348865795060902,1.625
실적/NNG;우려/NNG,15,22,37,0.00020952061682869594,0.00030729690468208736,0.6818181818181819
달러인덱스/NNG;하락/NNG,47,26,73,0.000656497932729914,0.00036316906916973964,1.8076923076923077
경제/NNG;활력/NNG,38,54,92,0.0005307855626326964,0.0007542742205833054,0.7037037037037037
